"","BitcoinLMean","BitcoinAMean","",""
"1",609.914857142857,0,0,609.11
"1",610.086071428571,0,0,610.19
"1",610.339642857143,0,0,608.66
"1",608.077857142858,0,0,598.88
"1",610.061071428572,0,0,597.42
"1",610.560714285715,0,0,594.08
"1",612.0475,0,0,598.98
"1",608.347142857143,0,0,605.96
"1",598.365357142858,0,0,605.67
"1",594.931428571429,0,0,603.85
"1",594.592857142857,0,0,609.39
"1",600.791428571429,0,0,611.85
"1",605.137857142857,0,0,609.62
"1",603.940714285714,0,0,607.18
"1",605.331428571429,0,0,612.08
"1",611.046071428572,617.168917830676,0,617.21
"1",611.135714285715,616.343836947792,0,617.54
"1",607.454642857143,613.951325448616,0,614.77
"1",609.443571428572,636.874887259489,0,635.01
"1",613.446428571429,631.828531901951,0,635.96
"1",614.565357142858,633.789373493299,0,634.02
"1",614.548571428572,639.406135924362,0,638.97
"1",618.238571428572,635.619046968427,0,636.29
"1",633.995357142857,630.00794738054,0,629.25
"1",635.125357142858,629.32388754459,0,627.72
"1",636.7425,632.33310511291,0,631.92
"1",641.801785714286,651.893413425051,0,651.39
"1",635.071428571429,651.332494596954,0,655.31
"1",625.181785714286,649.934443570891,0,651.45
"1",628.425357142858,683.280483713981,0,682.22
"1",635.973214285715,685.083899683908,0,687.68
"1",649.78,704.330769741509,0,702
"1",648.910357142857,698.688630483464,0,697.01
"1",658.010357142858,730.898553574875,0,733.33
"1",676.809285714286,717.434988269618,0,686.17
"1",685.495714285714,677.21051584002,0,683.69
"1",705.472142857143,701.930277369046,0,709.96
"1",710.481071428572,705.908729841639,0,708.97
"1",722.791428571429,717.571193177859,0,720.93
"1",682.176785714286,720.656715573541,0,721.5
"1",686.165714285715,717.108843930107,0,715.45
"1",707.03,709.226193028008,0,706.46
"1",712.365357142858,710.273991209705,0,710.91
"1",723.268214285715,711.222587433476,0,711.73
"1",723.771428571429,730.203094580695,0,736.96
"1",714.223214285714,744.210556949994,0,747.52
"1",702.57,740.242035430635,0,738.53
"1",705.776428571429,738.077814265031,0,736.97
"1",716.510357142857,740.478979685634,0,741.63
"1",739.905,737.976023086837,0,737.45
"1",745.277857142857,737.151425680086,0,735.64
"1",737.290357142858,731.247747227459,0,727.31
