,alphaGold,alphaBitcoin,value
0,0.0,0.0,23605.392755464203
1,0.0,0.1,23498.77031168264
2,0.0,0.2,23392.62857511452
3,0.0,0.3,23286.96538251626
4,0.0,0.4,23181.778580356033
5,0.0,0.5,23077.066024780488
6,0.0,0.6,22972.825581562298
7,0.0,0.7,22869.055126060834
8,0.0,0.8,22765.752543182818
9,0.0,0.9,22662.915727331078
10,0.0,1.0,22560.542582371494
11,0.0,1.1,22458.631021581212
12,0.0,1.2,22357.17896761553
13,0.0,1.3,22256.18435245836
14,0.0,1.4,22155.64511738297
15,0.0,1.5,22055.559212914486
16,0.0,1.6,21955.924598780155
17,0.0,1.7,21856.739243877102
18,0.0,1.8,21758.001126223444
19,0.0,1.9,21659.708232920828
20,0.0,2.0,21561.858560116525
21,0.0,2.1,21464.45011295601
22,0.0,2.2,21367.480905550656
23,0.0,2.3,21270.94896093018
24,0.0,2.4,21174.852311005736
25,0.0,2.5,21079.188996533812
26,0.0,2.6,20983.957067068357
27,0.0,2.7,20889.154580930415
28,0.0,2.8,20794.779605161166
29,0.0,2.9,20700.83021548596
30,0.0,3.0,20607.304496278517
31,0.0,3.1,20514.200540515085
32,0.0,3.2,20421.516449743765
33,0.0,3.3,20329.250334038028
34,0.0,3.4,20237.400311966972
35,0.0,3.5,20145.96451054933
36,0.0,3.6,20054.941065219566
37,0.0,3.7,19964.32811979241
38,0.0,3.8,19874.1238264184
39,0.0,3.9,19784.326345555102
40,0.0,4.0,19694.933845921714
41,0.0,4.1,19605.94450446633
42,0.0,4.2,19517.356506330936
43,0.0,4.3,19429.168044808237
44,0.0,4.4,19341.377321312935
45,0.0,4.5,19253.982545338626
46,0.0,4.6,19166.981934423915
47,0.0,4.7,19080.37371411982
48,0.0,4.8,18994.156117946764
49,0.0,4.9,18908.327387366717
50,0.1,0.0,23485.70586887025
51,0.1,0.1,23379.62411527332
52,0.1,0.2,23274.020630825988
53,0.1,0.3,23168.893263258386
54,0.1,0.4,23064.23986996269
55,0.1,0.5,22960.05831796023
56,0.1,0.6,22856.34648384972
57,0.1,0.7,22753.10225376784
58,0.1,0.8,22650.323523350482
59,0.1,0.9,22548.00819768116
60,0.1,1.0,22446.154191258265
61,0.1,1.1,22344.759427944296
62,0.1,1.2,22243.821840931883
63,0.1,1.3,22143.33937269466
64,0.1,1.4,22043.309974949563
65,0.1,1.5,21943.731608617327
66,0.1,1.6,21844.602243774563
67,0.1,1.7,21745.91985962135
68,0.1,1.8,21647.68244443222
69,0.1,1.9,21549.88799551933
70,0.1,2.0,21452.53451919477
71,0.1,2.1,21355.620030722777
72,0.1,2.2,21259.14255428803
73,0.1,2.3,21163.10012294866
74,0.1,2.4,21067.490778599
75,0.1,2.5,20972.312571933624
76,0.1,2.6,20877.56356240017
77,0.1,2.7,20783.241818169045
78,0.1,2.8,20689.345416085962
79,0.1,2.9,20595.872441637606
80,0.1,3.0,20502.820988914355
81,0.1,3.1,20410.189160565715
82,0.1,3.2,20317.97506776992
83,0.1,3.3,20226.176830187193
84,0.1,3.4,20134.792575929634
85,0.1,3.5,20043.82044151713
86,0.1,3.6,19953.25857184168
87,0.1,3.7,19863.10512013364
88,0.1,3.8,19773.358247916876
89,0.1,3.9,19684.016124979404
90,0.1,4.0,19595.07692933017
91,0.1,4.1,19506.538847164087
92,0.1,4.2,19418.400072829205
93,0.1,4.3,19330.658808782602
94,0.1,4.4,19243.3132655622
95,0.1,4.5,19156.361661743613
96,0.1,4.6,19069.80222390715
97,0.1,4.7,18983.63318660449
98,0.1,4.8,18897.852792316335
99,0.1,4.9,18812.4592914248
100,0.2,0.0,23366.624820685163
101,0.2,0.1,23261.08101996684
102,0.2,0.2,23156.0130626798
103,0.2,0.3,23051.418807471277
104,0.2,0.4,22947.29612260256
105,0.2,0.5,22843.642885914283
106,0.2,0.6,22740.456984776683
107,0.2,0.7,22637.7363160493
108,0.2,0.8,22535.47878604235
109,0.2,0.9,22433.68231046611
110,0.2,1.0,22332.344814398064
111,0.2,1.1,22231.464232231872
112,0.2,1.2,22131.038507644436
113,0.2,1.3,22031.06559354642
114,0.2,1.4,21931.543452044447
115,0.2,1.5,21832.47005440291
116,0.2,1.6,21733.84338099551
117,0.2,1.7,21635.661421272922
118,0.2,1.8,21537.92217371418
119,0.2,1.9,21440.62364579027
120,0.2,2.0,21343.76385392645
121,0.2,2.1,21247.340823454426
122,0.2,2.2,21151.35258858168
123,0.2,2.3,21055.797192343416
124,0.2,2.4,20960.672686566642
125,0.2,2.5,20865.977131834046
126,0.2,2.6,20771.708597436816
127,0.2,2.7,20677.865161344205
128,0.2,2.8,20584.444910157894
129,0.2,2.9,20491.44593907523
130,0.2,3.0,20398.866351854987
131,0.2,3.1,20306.70426077096
132,0.2,3.2,20214.95778658224
133,0.2,3.3,20123.625058487076
134,0.2,3.4,20032.704214093035
135,0.2,3.5,19942.193399372212
136,0.2,3.6,19852.090768626957
137,0.2,3.7,19762.394484455137
138,0.2,3.8,19673.102717706483
139,0.2,3.9,19584.213647452798
140,0.2,4.0,19495.725460944872
141,0.2,4.1,19407.6363535782
142,0.2,4.2,19319.94452886002
143,0.2,4.3,19232.648198365365
144,0.2,4.4,19145.745581709292
145,0.2,4.5,19059.234906503654
146,0.2,4.6,18973.11440832418
147,0.2,4.7,18887.382330677858
148,0.2,4.8,18802.036924960503
149,0.2,4.9,18717.0764504288
150,0.3,0.0,23248.14654936588
151,0.3,0.1,23143.137978055507
152,0.3,0.2,23038.6028367401
153,0.3,0.3,22934.538994929466
154,0.3,0.4,22830.944331698316
155,0.3,0.5,22727.81673565229
